id;name;photo;details;bg_photo
1;EXE;fuchsia Macao;District panel;calculate
2;Australia Intelligent portals;Assurance;tangible;Islands Handcrafted Factors
3;Concrete;Cambridgeshire directional;orchestrate;Dynamic Wooden Bedfordshire
4;matrices Awesome;Toys European Monetary Unit (E.M.U.-6);disintermediate copying;Mall Human Cambridgeshire
5;Rubber;internet solution RAM Intelligent Cotton Cheese;Liaison port Horizontal;Bedfordshire Computers
6;fuchsia copying;compressing Island;Tuna magenta Cuban Peso Peso Convertible;innovate tertiary Home Loan Account
7;navigating whiteboard;De-engineered;sexy;e-business
8;Spring tan;Table killer auxiliary;fuchsia payment;reboot needs-based neural
9;Intelligent Bedfordshire;open-source RAM deposit;invoice turquoise;Steel
10;Home;Colorado Dobra Borders;Open-architected;Syrian Arab Republic Tasty Car
